code,system
14B1.00,readv2
H120000,readv2
H120100,readv2
H120200,readv2
H120300,readv2
H120400,readv2
H120500,readv2
H120600,readv2
H120700,readv2
H17..11,readv2
H18..00,readv2
104543.0,med
10546.0,med
1108.0,med
121.0,med
12382.0,med
13377.0,med
14645.0,med
1468.0,med
15248.0,med
15553.0,med
16134.0,med
16158.0,med
16441.0,med
175.0,med
1838.0,med
18572.0,med
1930.0,med
2372.0,med
24163.0,med
28589.0,med
30375.0,med
3162.0,med
3798.0,med
42065.0,med
42556.0,med
47599.0,med
4861.0,med
5627.0,med
72490.0,med
774.0,med
775.0,med
805.0,med
9302.0,med
95938.0,med
964.0,med
H120z00,readv2
H13..11,readv2
H17..12,readv2
H17z.00,readv2
H170.00,readv2
H170.11,readv2
H170.12,readv2
H171.00,readv2
H171.14,readv2
H171.11,readv2
H171.12,readv2
H171.13,readv2
H171000,readv2
H171100,readv2
H171.15,readv2
H171.16,readv2
H172.00,readv2
H172.11,readv2
H330.13,readv2
H330011,readv2
J30.1,icd10
J30.4,icd10
